rating,review,sentiment
3,"Food - 4.5 stars however all other ratings considerations drove my rating lower. So here's the scoop:
Food: wow - excellent meal.  I started with the vegetarian hot and sour soup. It was probably the best I have had - lots of flavor and no flavorless dollops of tofu. I had the Three Style Mushroom Stir fry. Normally, I would not select a mushroom only dish although I am a huge fungus fan - largely because I usually find the dishes to be uninteresting but I was intrigued given other menu selections and the restaurant's reputation. It was a good decision - the mushrooms were amazingly flavorful with just the right sauce. My date selected the dim sun option as an appetizer and the stir fry peking duck. Both were very good. Ordering brown rice as an accompaniment must not be common as instead of a substitution for white rice, I got a huge bowl of it and it cost an additional 8 pounds. 
And here was the downside:
Service: ...was uneven, and not just a little uneven. We had good service at the bar where service was efficient. I was especially impressed with the well chilled glass in which my date's vodka martini was delivered - perfect!  However service went downhill once we were seated. We dined downstairs. It appeared that the waitstaff was assigned to a section and our waitress was challenged with keeping up with orchestrating the meal. She would disappear for a while and appear at times when we weren't ready. The addition of a second person to take our drink order was poorly coordinated and he did not seem to be very interested in his job nor in our requests. He wasn't interested in explaining the wine list; he plunked our drinks down as if he couldn't wait to leave. We waited an inordinate amount of time to get our bill as well. 
In addition, the wine list was terrible! It wasn't organized by varietal nor region, nor even flavor profiles. Instead, it was a weird mix of selections under topics such as ""Classics: Fine Wines with History"" (most wines have history and nobody offered to provide the history nor was it explained in the list), ""Vielles Vignes: old vines"" (NOT all French and old vines is an undefined designation) and ""Purity: the expression of the fruit"" (huh?!). I love my wine and I love to peruse a good wine list.  The Hakkasan wine list was just painful and its organization made it impossible to make a selection.  It was so poorly organized that we gave up on finding something and ordered cocktails.
Prices were really high. I could chalk this up to it being London and London prices but the prices were over the top.
Before leaving, I stopped at the bathroom and met another American while washing my hands.  We looked at each other and almost simultaneously said ""Weird"".",-1
4,"Come here for the food!! Amazing authentic Indian food - service and cocktails were not the highlights. We arrived slightly early and headed to the bar. My boyfriend got a Dishoom IPA which was delish - I ordered a bellini cocktail which was crazily sweet.
We were led to our table on the outside patio (fully enclosed - except for the sliding doors which weren't working properly on this particular night = winter cold draft). 
Service was slow - and my boyfriends glass of wine was served with a massive crusty food fingerprint smudge. Dishes we ordered were forgotten on both our table and the table next to us - the servers had to be reminded and finally came out at the end of our meal. 
That said, the food itself was AMAZING!!!
- Black dal - Traditional style, smooth and delicious. Watch out for all the butter in this bad boy!
- Lamb Raan - My boyfriend lived in India for two years and LOVES this dish - the most amazing succulent, slow marinated and tandoor cooked leg of lamb. It falls off the bone!
- Chicken ruby - Classic English style curry.
- Chicken Tikka skewer - Succulent chunks of chicken perfectly cooked in the tandoor
- Rumali roti - Thin bread that unfolds like a giant napkin - much less filling than naan.
- Garlic naan - The classic for dipping into a curry
There are three locations in London, but the Shoreditch one seems to be the most popular. This is a must visit for Indian food lovers.",1
4,Ignore Michelin - not cos they're wrong about this place but becasue Hakkasan isnt that type of place. It merits a Michelin star but that's not the thing you should focus on. It's actually fairly unpretentious and certainly not stuffy. the best thing to go for is the Dim Sum at lunch. There's a way to do it where you can only pay around £15 a head - just steer clear of the mineral water it's massively expensive. the best dishes to try are the Venison pork puff and all the cheung fun are pretty good. The service is always utterly charming without being OTT. I find the desserts a bit disappointing but overall I would say this is better than Hakkasan.,1
4,"Tasty breakfast with an Indian twist! Make sure you book, I would give it five stars but the staff weren't overly helpful!",1
5,"Delicious food, great atmosphere and very professional staff.  The dim sum is ridiculously good...  Highly recommended.",1
3,"Very high end Indian 'Nouvelle Cuisine' with small portions, sophisticated presentation. It's a far cry from 'regular' indian restaurants and the prices are, well..., high
The food was good, no doubts, but nothing exceptional either
Great service, very nice space in a library, just a little too stuffy for my taste, but some people may like it. Not a huge fan of the location either, behind Westminster Abbey, not much around...",-1
4,"Bone daddies one of the top ramen place in London?
Yes, I dare say. I still have a slight preference for Ippudo but Bone daddies is a close second plus it had more interesting choices in ramen combination.
We started with snacks: chicken wings which were simply yummy the right amount of sweet and spicy with a bit of a crunch.
Chashu pork and corn croquettes are abs fab a must order!!!! 
Now onto the ramen:
My friend went for the Prince of darkness. They warn you the it is f***ing spicy and it is. It s the kind of spice that creeps up on you (meaning its progressive) 
I went for the IP tonkotsu with an egg and it was just greatly balanced. The 20hours pork broth is just perfect but for me the noodles were a bit too large and too cooked but that s a personal choice. I like my ramen thin and al dente. Other than that the whole was just delish 
for the drinks we had the asahi cream head and the watermelon crush. Beer is beer obs but the watermelon crush was just the right amount of sourness and freshness I loved it, it goes perfectly with my dish as it was a little bit spicy so they married well.
Overall there is no doubt Bone daddies is one of the best places to get ramen in London!!!!",1
5,Superb ramen.. Nicely priced too. That was a great stop on my travels.,1
3,Food was good but not amazing. Very hot day and the air conditioner had stopped working at 6 we arrived around 8:30 and it was to hot to relax. Water was needed to stop you from passing out and the staff were more than happy and to charge for the bottle of water even though the air conditioning was off. The bar below is amazing and will return to the bar. My suggestion is go on a cold day,-1
4,"Ok I can't fault this restaurant other than their too-hilarious-to-be-mad-at-them shoddy service. 
Luckily I was armed with the knowledge of very low expectations over the service and the expectation of being very disappointed, that I thought nothing would surprise me but boy, I so wasn't ready for this lol!  
When we first arrived I scanned the room and took in the working class Chinese man's cafe tables, and thought okay... not complaining. I'm only here for the food! and then I looked over at the gaggle of staff hanging around the bar and then one stuck two fingers at me lazily (basically indicating a table for two) and I said yes and then he waved us off in the direction of the stairs. He didn't escort us upstairs nor did he come to the front to greet us. It felt very self service, almost empowering :D 
We then helped ourselves to the best table of 4 after realising there weren't a table for 2 around but the waitress hurriedly ushered us to a 'table for two' which we later realised was a shared table with another two customers!!!?? I tried to protest but in vain as the waitress was having none of it. Honestly, the whole concept of customers are always right and you must prioritise customer's needs before anything else are completely foreign to these people. 
The other two customers were as surprised as we were but later whispered that at least we all got into the exclusive dining area normally reserved for Chinese folks and as a Chinese myself, I got my non asian friend a free pass to the exclusive club which had linen covered tables with comfy enough seats compared to the greasy cheap looking mish mash of tables and chairs downstairs.
We were so fortunate that our fellow neighbours were such cool peeps and abit like the shared benches in Wagamama, we were like 'can you pass the soya sauce please?' etc. I mean I totally would've shared their food too (if they'd let me). Totally. Love the fact that Wong Kei forces us to interact with complete strangers. Such a unique perk. Also they know the issues with London's first world problems in their lack of communication with one another and has set itself on a mission to break these barriers. ;-) So admirable!
Our neighbours even helpfully smacked down some annoying flies and wiped it off the table for us. :') The flies acted as a bonus decoration ;-) The authenticity in this restaurant to the Far East is so in tune. You want abit of China? Go to Wong Kei!!  
If a food restaurant other than your typical Mcdonald's and Burger King, offers a drive through speedy service then this is it! The whole service was comparable to a factory conveyer belt. Time is precious and every second counts despite the fact that the restaurant was half empty with ample amounts of unoccupied tables and chairs scattered across the floor. Compared to your typical Chinatown establishment, this one takes the prawn cracker! As soon as we were seated and handed our menus, a waitress hovered above waiting to take our order (like less than a minute after we sat down). When I asked her to come back in a few minutes, the look on her face was utter shock. Truly funny to see. Honestly our table was wicked. We interacted with our neighbours and made such jokes that the same waitress came back looking horrified with nose flaring, that we were enjoying ourselves lol. 
Now onto the food. This is what I came for. Prices have gone up ever so slightly since well, the last recorded menu prices online) but still remain ahead of competition in terms of value, portion and quality. We had hearty meals of won ton noodle soup which was laden with won ton dumplings that when I finally demolished those meat parcels, I was actually surprised to see noodles underneath it! For a fiver, it truly was the epitome of eastern comfort food like bangers and mash is to English folks. For the side, we opted for bean curd with chilli and salt. I would totally recommend it to anyone because once you try it, you can't stop! Might need some water at hand because they don't use that msg sparingly!! 
Service is quick. You're in and out of there like fast food. In fact so quick you needn't worry about time. What they lack in service they more than abundantly made up for in quality and quantity of food.
Question of whether you're genuinely welcomed sits in the balance. Service charge is optional (thank goodness!!) and the waitress counted the money at our table (quite insecurely) after hovering nearby for a while whilst we emptied coins from our purses lol! Not to forget that the tea is freeeeee!  
Coming here is an experience onto itself like a ghost ride in a theme park. You love to hate it. All in all, I'd definitely be coming back here in a rush!",1
1,"Having lived in Shanghai and visited many Chinatowns in cities around the world...Dumplings here were average at best.  They lacked the differentiating flavor one expects when you take your first bite.  Bland fillings wrapped in a dumpling.  It took 25+ minutes for 3 of 4 of the items I order to arrive at my table.  Worse, they brought me a check before the fourth item I ordered arrived.  Good concept, but poorly executed.  Dumplings were temperature hot.",-1
4,"Ah the legendary Wong Kei!
This place has been a firm favourite for myself and my friends for the past 6 years (possibly more!). The free green tea, people-watching opportunities and rock-bottom meal prices have incentivised us to return year after year, despite the occasional cheeky comment and disturbing rumours of the chiefs doing a circle spit into the dishes of punters they dislike (seriously wish I'd never been told that story!).
When times are good I order the Chicken with Cashew Nuts and a side of Egg-Fried Rice. When times are not so good I order the 3 Cold Barbecue Meats on Hot Rice. I have never not cleaned my plate. Myself and my best friend usually, in addition, order the Mixed Hors d'oeuvres. And proceed to argue over who gets that last succulent teaspoon of seaweed when the rest of the savoury treats are devoured. And we do this every. Goddamn. Time
The restaurant staff have certainly gotten a lot politer since 2014's change in management. Which many punters are sad about, given that Wong Kei's former reputation as a 'legendary' rude restaurant. Not me, however. The times I've been back since I've enjoyed more than ever. Customer service goes a long way with me.
My only big gripe with Wong Kei (and this is sadly perennial) is that I always seem to suffer from an upset stomach the rest of the night and the next day...",1
