rating,review,sentiment
3,take nice bite cheese swig wine trust divine main pear salad crab appetizer salad great blue cheese poach pair perfect combination overall,-1
5,london long stand indian restaurant hold title damn good reason mouth never ok st thing entrance place strange restaurant second floor hostess stand ground level check send elevator restaurant whole thing give hong kong fuey kinda vibe pamper red carpet service star indian cuisine elegant room overlook streetwide parade protest foxhunt well thats day go ordered tasting menu call bite well previous amaze chicken app astound prawn ever precede main course flight curry aaaahhhhhhhh light shine begin weep seriously food ruin indian food year cuz there way go good time soon sorry everywhere else,1
5,best ramen london far place amaze want try original ramen feel taste rich broth make ive ordered kotteri hakata tonkotsu amaze pork noodle perfect also choose want noodle cook standard soft hard portion big enough staff nice friendly place loud enjoy place also locate nice spot far piccadilly circus heart oh soho queue make thursday dinner perfect want super picky amunfortunately con toilet entire restaurantyou see people queue front great close table lucky enough close bathroom end people queue loo apart great experience great foodwill definitely come back soon,1
5,dishoom please come nyc love restaurant husband town good reason food extremely flavorful service fab last time visit location parent bartender downstairs take care provide description cocktail make special recently try breakfast immediately make nextday reservation location try different dish,1
4,wander soho drizzly cold summer day really august feel winter already guess bit sf come ramen shop step pm already pack good sign hub get tonkotsu order spicy miso ramen great broth good noodle pork ample egg cook perfectly great dinner even provide plastic bib wearwhich people use surprising amusing touch jar offer hair band lady long hair annoy hair fall face labor lovely soup noodle even garlic crusher garlic counter sesame grinder additional flavor great place dont miss,1
3,roti chai locate portman mew portman st marylebone london find roti chai highly rat yelp like check come dinner theyre busy hostess ask like try street kitchen din room hesitate different checked menu pretty dish prefered indian tapa order bit garlic fresh make soft fluffy vegetable samosa good great macher jhol fish curry ok flavourful railway lamb curry medicore curry wasnt rich overall lacking food presentation authentic dish service excellent,-1
5,london current hotspot show sign slow anytime soon great scene amaze bartender phenomenal cocktail make lively highly amuse even,1
5,good dim sum place london nothing traditional sort showcase smart technique keep menu ahead traditional dim sum restaurant youll leave satisfy time binge away cause nothing order ever go wrong,1
3,decor nice food ok much charge nut allergy waiter able suggest item eat tomatoe soup lovely prawns bland bharta bharta good well authentic indian think food mild party taste menu decent know far superior place eat indian food london definitely worth gbps,-1
5,omg go back asap okay go back leave experience go back london absolutely fab,1
3,cinnamon club stun venue set look old library table surround huge bookshelf also pot tree restaurant give place lovely feel food fusion indian modern british ingredient food good service attentive friendly place expensive meal drink £,-1
5,thing order house chai order bacon naan repeat arrive minute end breakfast seat minute place packed loud casual ambiance table booth seat look see naan make fresh counter drink order house chai mint tea chai best chai ive ever rich spicy soothe sadly small glass chai excellent way start morning mint tea smell mile away thats fresh refresh mint order bacon naan akuri big bombay kejriwal egg chili cheese toast bacon naan superb tamarind bbq sauce complement bacon extremely well kejriwal okay bread kind tough flavor didnt meld well together id rather second naan people group enjoy akuri big bombay especially comment taste mushroom give halfstars place get perfect pretty darn close,1
3,breakfast definitely interesting take morning meal friend adore dishoom decent something die london many place dine youre look something quick definitely place trouble keep attention server get food tea chai nice bacon roll good overall wasnt moon whole experience,-1
2,order tonkotsu extra bamboo shoot tantammen extra chashu egg kimchi ramen special menu think good egg chachu relatively really standard noodle however core ramen soup think miss something exceed something idea add peanut soup absolutely disaster rich fat soup suppose process instead pork fat suppose include soup instead think add oil totally blend original soup result oilyness taste kill elements great price ok think use oil reduce production cost,-1
3,say nobu first name carry lot weight expect nothing best make decision eat nobu international reputation maintain meet friend mine cocktails dinner friday evening surprise find busy unexpected visit england return borneo happy nobu take reservation short notice service pretty good great busy food well good fantastic good sushi holeinthewall hawaii fraction price drink menu point cocktail quite good best nobu ive best sushi ive ever pretty much expect nobu london wouldnt make first stop next time im london im say dont come look option decide,-1
2,bad service see year abysmal food swim dress major disappointment,-1
4,food good great service prompt personal get get also dont say anything optional service charge addedim guess tip also hell rice cost good rice freak rice,1
