rating,review,sentiment
5,"In my younger days when lunch choices consisted of Soho's wide range of eateries as opposed to today's regimented packed lunches, there was one spot that was a consistent favourite. Wong Kei. This evening after a long day at work followed by a lengthy meeting and beer, I decided to revisit my favourite old haunt. It's as good as ever. I ordered my standard:
- Ho fun with beef and scrambled egg
It is a dish that sums up my love for the restaurant; hearty, authentic, homestyle cooking that will fill you up on a budget with the finest of ingredients - simplicity. There is nothing fancy about a plate of wet noodles with a generous helping of tender beef and eggs. Its taste is mildly salty with a slight spring onion sweetness and there isn't much else to it. What you get however is a sense of warmth and comfort with every bite that few other places can offer at its price point. Wong Kei has long been infamous for its abrasive staff and unassuming environment (both things I have no problems with personally) but in dishes such as this, it provides care in the way it feeds you. It in some ways encapsulates the very Chinese way of expressing love without words and not many people appreciate that, or open themselves up to notice such things at places like this.
I will forever love this place and hope it stays forever. As a little pro tip, this has to be consumed eating in to make use of the plentiful chilli oil crucial to this dish and for that rarest of perks by today's standards: free tea.
Wong Kei, please don't change.",1
3,"After going through yelp and tripadvisor, I wanted to try a Chinese restaurant in London. This place was definitely very popular on tripadvisor and people describe this as good food but bad service. So that's what I think of authentic Chinese food - good food but lack of service is normal! 
So I decided to check out this place since we were in this area and I heard lots about it. The menu has lots of different choices and variety. We ordered the fu-king fried rice, malaysian noodles. The food came out and I wasn't amazed by it. It was your typical Chinese food. I am not really sure if I like it enough to come back though. Everyone seemed to really love this place and the food but the food doesn't live up to the hype.
So bleh. Just Chinese food.
Also, I was surprised we had shared tables. So if you have a small party, they might sit you with a shared table, I don't know how common it is in London? I see shared tables as a norm in Asia/China though but not usually that common in America.",-1
5,Ordered Sichuan Prawns and Singapore Rice Noodles. Both were amazing.  Cash Only establishment.,1
3,"Wong Kei is one of the many options you'll find in the heart of London's Chinatown. There are several floors, and someone will direct you to a table. 
Food: It's simple and straightforward. The roasts hanging in their window are done well - duck, BBQ pork, roast pork. I had the pork and century egg congee, with a side of roast park. Congee was full of meat and egg, and had the right amount of ginger. The roast pork was fresh, with a crispy skin, and the meat was tender and not dry. 
Service: Food comes out quickly, and you'll be left alone to enjoy it. Reasonably attentive if you need something. 
Cost: The two items with tea cost me £17.50. 
Overall: It isn't fancy, but it does offer some decent food at decent prices.",-1
1,"One of the worst experience in a restaurant in my life. Both the food and the service, we have one friend who just had an injury on her leg so we asked if we can eat at the ground floor to avoid climbing the stairs. The waiter rudely checked my friend's leg to see if I am lying, we almost left because of it. 
In the end my friend didn't want to ruin the mood so we still stay. Fortunately we sat at the ground floor as we asked but one of the guy in the counter gave us a disgust look. ( there were plenty of sits in the restaurant at the time we were really unsure why they make it so difficult) 
The food was as terrible as the service, the rice was cooked with just too much water, the rice stick together like a rice ball, we didn't finish the rice. The grilled duck I had was ok but not crispy at all if you are looking for authentic Cantonese cuisine. The waiter who helped us to order was nice though, but the food and the main service is horrible. Skip this place if you can.",-1
1,Worse restaurant I have been to. No service.Roast duck rice was full of fat.,-1
1,"The worst food experience while I was traveling in London. I would skip and look elsewhere if possible. 
Here are a few things to expect while you eat here:
1. The staff do not care about you. 
2. Everybody is expected to order one item even though you're not hungry or they just charge you at a random amount to make it up. 
3. Food is just alright.
4. I saw the staff legit yelled at customers for asking questions about the menu. 
5. The staff also swore at some nice elderly people. Wtf? What is wrong with them?
However if you're into a bowl of lukewarm wonton soup for roughly £6, this is your place. 
I made a bad decision for coming here. The staff should be fired.",-1
4,I stupidly ordered wrong but the nice guy on the phone gave me the noodles i wanted AND let me keep the wrong order. 8/10 will come again but very expensive in  comparison to other local Chinese takeaways,1
2,"Wong Kei is notorious amongst local Chinese for serving cheap traditional Chinese food fast with rash (i.e. rude service) in very simple (i.e. old and down-trodden) surroundings. The colours on dishes and tea sets may be worn, I have found lipstick on a cup before, hair on the plate of food, etc. 
Having grown up in London and been a frequent visitor of Chinatown I have known what to come to expect of Wong Kei, and that is not to expect much in terms of quality but you can be fed with speed and at low prices compared to all its competitors in Chinatown. 
Many locals can feel at ease eating here even on their own (unless you feel embarrassed to have anyone you know spot you eating here). It is basically cheap (and not so cheerful) but it does its job and has served a useful purpose in London's Chinatown for many decades.",-1
3,"Pretty standard chinese food. Was a little confusing being told where to go and where to get seated at first. I ordered a rice plate with barbecue meats (pork belly, pork), which should have been the fastest dish at my table, since the bbq meats are cold and just placed on top of the rice, but for some reason my plate was the last to reach the table by far. A good amount of meat and a good amount of sauce over rice for a standard dinner. Prices are pretty decent too, I think around 6 pounds for my plate. Cash only.",-1
